word,count
huppala,9
heute,4551
bischen,81
torkelig,1
aufn,263
beinen,79
tje,9
aufgenomm,1
musstde,1
datum,41
sagste,399
dazu,1216
erfolg,10
gibs,68
aufbauen,219
platte,82
stehen,991
abgerissen,37
dafür,572
brauchen,1168
bagger,516
abreißen,42
soqo,6
nämlich,2135
schienen,327
vorn,43
angefangen,92
ohne,621
kein,3045
anfangen,286
brauche,541
diese,1153
farbe,899
plätzchen,172
zutrauen,1
elektrisch,9
läd,1
lädt,25
straße,398
anbauen,27
höhere,4
portion,50
aufgeladen,14
baustelle,180
baust,236
neue,424
steine,295
werden,1819
ou,163
klasse,674
mauern,30
gestapelt,7
palette,5
stück,1087
paar,1268
stücke,84
lange,1072
mitgebracht,318
jeder,429
sorte,61
welche,1441
wikllst,2
großen,1073
meinem,347
spiel,908
rutschen,130
füsse,188
lauf,120
einm,2
wollst,48
paletten,1
dinger,111
gebrauchen,128
brennt,168
feuerlöscher,13
feuerlöschschlauch,1
fehlen,171
speziellen,5
dachxx,1
ding,463
braucht,639
zeitwinde,1
tisch,1301
viel,3545
verkaufen,173
weißte,726
hernach,1
hingetan,66
gespannt,154
sammelst,17
all,214
kommen,1697
neben,358
gelagert,9
klotz,40
seitlich,7
wegdrücken,1
oach,29
bus,724
weggemacht,22
nahm,7
steinchen,34
klein,1080
hieer,1
wären,69
lager,9
gewesen,392
stand,182
gestanden,36
fahr,314
um,2221
anstellen,22
schwester,111
knopf,182
drücken,437
aha,3068
falsch,620
reingemacht,58
gefallen,375
feste,320
hoch,1666
klappe,112
hättest,292
geparkt,33
radlader,15
seht,33
weggebracht,6
riesenrad,14
irgendwo,773
toilette,218
schlimm,561
kragen,21
nei,15
dö,9
umweg,10
gefahren,663
schirm,99
gehüpft,17
soch,2
schirmchen,5
palengwagen,1
stephan,57
einem,1807
aufstehen,226
bäh,143
pfui,64
schmeckt,1052
abschiessen,3
komplett,63
umgelegt,7
abgemacht,82
hingestück,1
sio,1
tschüss,906
schwerlast,1
aufgexx,3
geburtstag,579
fünften,22
januar,44
wochen,159
überschlagen,15
lockenköpfchen,4
uhr,528
reiten,141
pass,2308
großer,448
räuber,159
sorge,17
spätestens,3
lang,783
genug,1006
geguckt,212
stapel,79
ecke,489
gute,633
bauklötzchen,70
abgestellt,10
leid,118
vergess,3
schimpfst,11
viele,2245
steinarbeiter,1
clown,110
küsschen,102
halbes,35
maol,3
nö,777
wei,56
abladen,16
baumaschine,1
mauermaschine,2
ehrlich,736
kleinen,1593
brrr,23
jede,98
menge,148
wieviel,879
boing,134
stoppschild,25
hängst,17
fest,1043
verbindungen,3
tasche,424
wirst,424
hineinpasst,7
such,426
chauffeur,5
audi,4
runterxx,3
läutest,2
wart,1060
mensch,982
kam,260
mitten,130
mittenwald,3
hatten,592
ginge,18
drunter,484
bisschen,7719
unten,2499
platschst,1
geschlossen,34
ruf,160
oma,2004
bahn,598
mak,2
sehen,2789
zusammenkriegst,2
nöe,59
boden,646
halter,9
jedem,81
drinne,413
bahnhof,581
bahnhofsgebäude,10
grob,27
donnerst,2
gegen,247
nih,2
kriegs,34
batsche,6
batsch,9
mittlerweile,59
vierte,50
november,27
hoppe,91
reiter,97
te,44
kassette,82
vorsichtig,774
spitz,64
stricknadel,1
pickste,1
käpten,10
pitt,9
teddy,936
lieb,415
kasper,141
nasi,6
kasperköpfchen,1
gieks,16
hastt,1
puzzle,727
drüben,326
rausschütten,6
schäfchen,65
haust,71
klopfst,16
finger,756
sachen,1501
selber,665
händchen,27
gott,841
kassper,1
schlupp,2
heija,51
abba,4
klettermäxchen,1
