form,deprel,count
langen,obj,16
gefällt,root,218
schönes,obj,152
krieg,root,183
net,flat:name,115
halt,root,1146
kriech,root,5
keines,obj,104
nimm,root,1168
eines,obj,563
wiederhaben,root,22
lesen,parataxis,21
hund,nsubj,712
dabei,root,243
ja,cc,2449
einer,nsubj,835
auf,case,13908
ersten,amod,199
sitzt,root,939
seine,nsubj,2
sicher,advmod,376
sie,root,49
dir,nmod,399
beide,root,46
wem,obj,243
wau,root,192
wauc,flat:name,1
schweinchen,nsubj,171
hinten,advmod,1610
wuzje,root,1
wau,nsubj,18
wau,flat:name,241
der,appos,555
dfer,root,1
wer,nsubj,8245
wau,obj,36
wa,root,57
wa,flat,54
du,appos,660
hups,root,170
auseinander,compound:prt,151
gesundheit,obl,2
wohnt,root,305
mein,nsubj,6
schnupfen,obj,73
häh,advmod,38
heh,nsubj,3
kuckst,root,5
wups,root,8
toll,advmod,916
totschick,root,6
kanonen,nsubj,2
sein,cop,2189
kanone,parataxis,1
schöne,amod,843
bücher,obj,167
setzt,root,282
schöne,obj,27
schießt,root,32
ach,root,2016
dumm,advmod,44
bumm,root,276
passiert,root,863
wer,root,1853
waren,cop,1547
na,advmod,4640
ich,root,940
explodiert,xcomp,1
haus,nsubj,277
gauner,root,3
corinna,flat:name,193
wieso,advmod,727
kanone,nsubj:pass,1
wird,aux:pass,1459
hin,advmod,342
gebaut,root,402
es,nsubj:pass,362
hingemacht,root,22
wagen,obj,125
andere,conj,53
wald,nsubj,13
wald,root,60
keine,obj,255
mehr,advmod,5733
schweinchen,root,54
gell,flat:name,1284
alles,det,179
schönes,nsubj,25
krach,root,23
bumm,advmod,77
flügel,obj,65
bauen,root,1333
dranbauen,root,10
dahin,obj,6
ügenau,appos,1
klappt,root,220
aus,compound:prt,4362
los,compound:prt,1110
nung,root,1
dumm,flat:name,2
dong,flat:name,27
bumm,flat:name,19
sie,nsubj:pass,369
wäre,aux:pass,77
gelandet,root,63
räder,obj,194
ausgeklappt,xcomp,1
räder,nsubj,109
flügel,conj,9
eingeklappt,root,1
rumm,advmod,1
hätten,aux,129
hingestellt,advmod,2
kanone,obj,6
ui,obj,67
damit,advmod,1717
fahren,root,2388
müssen,aux,4805
kanonenjagd,obl,1
gehen,root,2192
klötzchen,obl,4
nüm,root,1
ach,flat:name,26
bo,flat:name,19
scheiss,obl,1
bum,root,55
bum,flat:name,61
eine,root,590
verschieb,root,3
mich,obj,2223
gewehr,root,3
filme,root,6
wird,root,1784
kanone,xcomp,1
kanone,root,5
peng,root,31
peng,flat:name,13
eij,root,20
hups,obj,5
bin,nsubj,3
müde,advmod,106
passt,root,1833
euch,obl,217
zwei,flat,905
abends,advmod,184
nie,advmod,679
morgens,advmod,189
umso,advmod,8
mehr,conj,16
heißt,root,2158
zwei,nummod,2529
ferkel,root,60
komisch,root,133
wird,aux,908
drüwwe,root,1
och,cc,346
lässt,root,258
gucken,xcomp,389
kanülenbox,obj,1
fertig,advmod,710
habe,ccomp,200
geholt,root,190
gehabt,root,664
gestunken,conj,2
gestunken,root,16
tun,root,1312
hah,root,17
päng,root,2
päng,flat:name,2
beide,det,101
hasen,nsubj,77
nach,case,4265
hier,obl,178
hier,conj,288
irgandwas,nsubj,1
müffelt,root,2
nee,nsubj,3214
glaub,root,951
net,nsubj,159
dachte,ccomp,18
allen,det,201
seiten,obl,31
geschossen,root,30
net,root,291
bei,case,5479
eben,advmod,1529
wäre,cop,1099
video,ccomp,1
kamera,flat,1
gewehr,nsubj,1
hör,root,981
auf,compound:prt,6735
brücke,obj,129
draus,advmod,27
langes,amod,86
eisenbahn,obj,301
eisenbahn,root,227
waggon,appos,2
brumm,root,337
zug,obj,324
fährt,root,2199
brumm,advmod,71
rotes,root,20
unfair,root,6
gelbes,obj,19
habt,aux,1408
geteilt,root,10
zimmer,obl,297
große,amod,1239
kiste,nsubj,33
steinen,nmod,9
hol,root,1351
legoschiff,obj,1
legoschiff,root,1
kran,root,94
kommt,root,6468
kranchen,nsubj,1
willst,root,1686
oi,nsubj,91
dir,expl:pv,75
gesichert,root,5
vom,compound:prt,8
mann,obj,152
ja,obj,258
uh,root,341
deiner,nsubj,46
arg,advmod,117
will,root,1203
gehauen,advmod,1
kopf,obl,526
soll,root,1554
videokamera,root,4
och,root,1031
keine,det,3414
lust,obj,382
baum,nsubj,165
zwei,obj,474
uznd,nsubj,1
bät,root,1
echt,root,537
gerade,advmod,3641
herein,advmod,15
gemacht,root,4317
film,obj,105
gesehen,root,1751
kameramann,root,3
tablett,nsubj,4
film,nsubj,24
ab,advmod,183
wir,flat:name,244
sprachlos,root,9
abnimmt,ccomp,1
null,nummod,49
patrone,nsubj,3
echte,root,8
jo,flat:name,25
kracht,root,17
patrone,obj,2
mir,obl,1103
holen,root,1235
im,case,8118
schrank,obl,183
auseinander,advmod,210
geh,root,1342
gucken,parataxis,120
erst,advmod,4372
nachher,root,53
überhaupt,advmod,994
caroline,nsubj,249
dis,flat:name,103
macht,obj,12
schau,xcomp,24
spulen,ccomp,1
pünktchen,nsubj,4
guck,ccomp,228
ho,obl,3
wo,flat,42
isn,flat,51
andere,amod,1609
isn,cop,22
spulen,root,1
buch,appos,117
anschauen,xcomp,3
lieblingsbuch,root,1
huhn,root,172
grosse,amod,255
dicke,amod,254
huhn,appos,19
da,conj,511
he,nsubj,220
hund,appos,92
guck,conj,166
isn,root,20
dis,advmod,64
is,root,3757
kuh,obj,178
sch,conj,8
sch,flat,79
caroline,root,85
bimmelbahn,appos,23
muh,advmod,15
is,ccomp,694
säge,root,33
nichts,nsubj,519
postkarte,root,5
fabi,nmod,1
karte,root,78
piekst,root,31
nich,flat,69
aua,flat,197
nimmst,root,463
lieber,advmod,1196
is,cop,8789
zug,nsubj,595
caroline,conj,7
ne,obj,2372
auseinandermachen,root,12
is,obj,89
zugeleimt,parataxis,1
musst,xcomp,7
weiter,compound:prt,805
laufen,conj,31
alle,obj,1205
fährt,conj,127
übern,case,10
berg,obl,47
junge,nsubj,369
wauwau,root,174
is,flat,1115
der,flat,30
schmusemaus,flat:name,2
oh,flat:name,185
pa,flat:name,9
schublade,obj,38
verdacht,obj,25
maus,punct,17
dass,mark,4772
hose,obj,479
hast,ccomp,381
stimmt,aux,1
stimmt,xcomp,32
bilderbuch,obl,42
ein,nsubj,732
oktober,root,12
dis,nsubj:pass,17
is,aux:pass,440
verstaut,root,6
bautz,root,26
oho,obj,5
runtergefallen,root,352
indianermädchen,parataxis,1
ma,obj,266
elefanten,obj,88
haben,aux,3384
zoo,obl,342
gesehen,parataxis,65
fertig,root,1488
arme,amod,259
hase,nsubj:pass,5
gehämmert,root,5
telefon,nsubj,207
telefon,obj,168
nachmachen,root,12
gell,obj,1257
auto,root,1270
auto,appos,188
wer,conj,111
e,nsubj,1624
hat,ccomp,838
n,det,1043
stift,obj,155
dr,root,3
wauwau,parataxis,3
guckt,root,634
bilderbücher,obj,46
dazwischen,ccomp,2
dis,flat,177
auto,flat,17
kätzchen,root,23
un,advmod,351
becher,root,102
ham,aux,1321
angeschaut,root,32
banane,root,78
banane,appos,19
deine,det,3159
banane,obj,92
a,flat,508
solche,det,253
haare,obj,455
kriegst,csubj,2
feine,amod,54
könnte,aux,895
sein,root,431
nich,nsubj,38
zotteldinger,root,1
drei,nummod,869
ditzis,root,1
ditzi,obj,2
ditzi,nsubj,1
schwierig,advmod,147
mädchen,nsubj,291
isst,parataxis,37
kriegst,parataxis,40
caroline,iobj,39
stuhl,nsubj,122
stuhl,root,245
n,root,201
huppala,obj,2
heute,advmod,4864
bischen,nmod,2
torkelig,advmod,1
aufn,case,268
beinen,root,11
tje,root,4
aufgenomm,root,1
musstde,nsubj,1
datum,obj,24
sagste,root,441
dazu,advmod,1129
ähä,cc,5
erfolg,root,2
darf,root,625
gibs,root,67
her,advmod,336
komm,appos,99
nein,xcomp,19
haus,obj,472
aufbauen,root,196
haus,root,602
platte,nsubj,22
stehen,xcomp,522
haus,nsubj:pass,28
abgerissen,parataxis,2
dafür,advmod,594
brauchen,root,1077
bagger,obj,79
abreißen,obl,2
soqo,obj,2
ah,flat:name,55
teile,nsubj,106
nämlich,advmod,2324
schienen,root,62
bauen,parataxis,66
vorn,advmod,29
eine,appos,81
angefangen,root,78
nee,advmod,989
ohne,case,578
platte,obl,17
kein,det,3302
anfangen,root,229
oben,root,684
brauche,root,523
diese,det,1056
farbe,obl,105
genau,root,3511
stefan,iobj,15
plätzchen,obj,88
zutrauen,ccomp,1
rum,root,200
schöne,nsubj,10
haus,obl,498
elektrisch,advmod,6
läd,root,1
lädt,root,20
straße,root,74
anbauen,root,20
höhere,amod,4
portion,nsubj:pass,1
aufgeladen,root,13
den,obl,193
baustelle,root,55
baust,root,214
das,obl,231
einer,root,264
neue,amod,380
steine,nsubj,46
werden,root,502
steine,root,45
ou,root,83
klasse,appos,92
mauern,root,6
die,nsubj:pass,998
werden,aux:pass,945
gestapelt,root,6
stehen,root,405
nimm,nsubj,13
palette,obj,3
steine,nmod,3
stück,obj,541
paar,amod,1125
stücke,obj,46
lange,obj,12
mitgebracht,root,267
prima,advmod,482
jeder,det,94
sorte,obl,10
welche,nsubj,278
palette,nsubj,1
straße,xcomp,1
lange,root,80
willst,acl,85
wikllst,aux,1
großen,obj,75
mit,compound:prt,1625
meinem,det,362
spiel,obl,76
rutschen,root,118
füsse,nsubj,41
lauf,root,110
einm,det,1
stück,obl,127
laufen,root,418
wollst,aux,40
stefan,obl,36
paletten,nsubj:pass,1
ich,appos,248
neue,obj,46
dinger,obj,42
mitgebracht,conj,13
langen,nsubj:pass,1
drin,root,1772
gebrauchen,root,107
brennt,root,129
feuerlöscher,root,10
feuerlöschschlauch,root,1
uh,nsubj,67
kleine,obj,81
fehlen,xcomp,4
speziellen,amod,4
nachher,advmod,1664
dachxx,obl,1
lass,xcomp,13
kleines,amod,1002
ding,obj,130
braucht,root,573
zeitwinde,obj,1
tisch,obl,702
viel,obj,640
verkaufen,root,145
weißte,root,567
bauen,conj,57
hernach,root,1
so,advcl,420
wo,conj,216
steine,obj,146
hingetan,root,54
ich,nsubj:pass,555
bin,aux:pass,497
gespannt,root,156
jetzt,root,703
sammelst,root,17
mache,root,876
oh,flat,568
uh,flat,6
all,appos,4
kommen,root,1398
neben,advmod,47
gelagert,root,7
klotz,nsubj,9
große,nsubj,47
hingestellt,root,49
seitlich,advmod,9
wegdrücken,root,1
oach,cc,2
bus,root,178
der,nsubj:pass,753
weggemacht,root,20
denn,cc,299
nahm,conj,1
steinchen,obj,18
großes,amod,494
klein,obj,3
stein,appos,18
wagen,root,95
hieer,obj,1
wären,aux,6
lager,nsubj,1
gewesen,root,18
stand,conj,9
ham,nsubj,165
gestanden,root,28
fahr,root,313
um,case,1141
anstellen,root,20
eine,obj,914
deiner,det,584
schwester,iobj,1
kanonen,obj,8
knopf,obl,38
drücken,root,383
aha,root,2642
falsch,advmod,280
rum,advmod,397
reingemacht,root,55
lass,parataxis,50
gefallen,root,334
fährt,appos,21
drücken,xcomp,33
feste,amod,53
ou,nsubj,33
berg,obj,46
hoch,advmod,840
klappe,obj,36
hättest,root,114
geparkt,advmod,2
nee,nsubj:pass,53
radlader,appos,1
kann,ccomp,213
berg,root,58
hm,discourse,75
bagger,nsubj,139
seht,root,28
fährt,obj,44
ab,case,233
hinten,obl,122
weggebracht,root,6
mann,root,336
kanone,nmod,1
das,flat:name,1153
richtige,root,36
richtige,nsubj,6
stimmt,root,1598
war,root,608
riesenrad,obl,1
dabei,compound:prt,189
habe,root,1094
riesenrad,obj,1
schwester,nmod,14
irgendwo,root,63
toilette,obl,146
schlimm,root,454
hätte,root,270
kragen,obj,8
un,root,472
da,flat,172
nein,flat,276
nei,flat,5
mh,flat,1
dö,flat,6
umweg,obj,6
gefahren,root,562
umweg,nsubj,1
schirm,obj,35
hand,nmod,126
gehüpft,conj,2
och,advmod,375
soch,iobj,1
schirmchen,obj,1
ab,compound:prt,1700
palengwagen,nsubj,1
stephan,nsubj,32
einem,det,1682
aufstehen,obl,2
bäh,flat:name,23
bäh,root,111
mund,nmod,114
mund,root,280
pfui,flat:name,13
schmeckt,root,1017
schnell,xcomp,28
abschiessen,root,2
komplett,advmod,53
umgelegt,root,4
abgemacht,advmod,16
palette,root,1
hingestück,obj,1
baum,nsubj:pass,16
baum,xcomp,2
sio,root,1
tschüss,flat:name,12
schwerlast,appos,1
bitte,advmod,1751
seht,xcomp,2
habe,aux,2468
aufgexx,root,3
dazu,obj,64
geburtstag,nsubj,25
fünften,amod,16
januar,obl,19
geburtstag,obj,274
wochen,root,33
überschlagen,ccomp,2
lockenköpfchen,root,2
es,flat:name,171
uhr,nsubj,113
weiter,advmod,1277
warum,root,714
reiten,root,122
pass,root,2190
großer,amod,427
räuber,root,67
weiß,advmod,92
fehlen,root,151
paar,nsubj,30
film,appos,9
sorge,root,5
drei,nmod,23
spätestens,advmod,5
lang,advmod,442
genug,advmod,399
geguckt,root,180
essen,root,2535
ei,obj,284
stapel,obl,32
ecke,nmod,41
gute,amod,662
ecke,nsubj,52
bauklötzchen,obj,26
abgestellt,advcl,1
leid,compound:prt,108
stefan,flat:name,27
bitte,discourse,644
vergess,root,3
toilette,obj,9
schimpfst,root,10
viele,amod,1819
klötzchen,appos,3
lager,obl,4
alle,nsubj,728
steinarbeiter,root,1
mama,obl,580
clown,nsubj,26
ou,obj,9
ham,root,2183
leute,obj,173
geben,ccomp,64
küsschen,obj,69
hab,ccomp,219
halbes,amod,27
spiel,root,337
maol,obj,2
dir,obl,1689
nö,advmod,34
ach,cc,1642
wei,flat,38
abladen,root,17
mach,conj,152
dahin,advmod,594
baumaschine,root,1
mauermaschine,nmod,1
mauermaschine,root,1
ehrlich,root,534
kleinen,obj,100
brrr,root,23
okay,root,2073
jede,det,97
menge,obj,82
steine,appos,48
wieviel,obj,217
boing,root,121
stoppschild,root,5
hängst,root,15
fest,compound:prt,530
verbindungen,nsubj,3
schönes,advmod,10
tasche,root,98
gehen,xcomp,169
wirst,aux,231
hineinpasst,root,1
such,root,422
chauffeur,obj,1
audi,root,3
au,root,598
daumen,nmod,8
weh,obj,68
gelle,nsubj,39
ja,nsubj,607
runterxx,root,2
läutest,root,2
wart,root,676
hinten,root,244
irgendwo,advmod,771
mensch,nsubj,319
ich,flat:name,1300
kam,root,204
mitten,advmod,141
mittenwald,obl,2
raus,compound:prt,2693
ah,cc,208
wollte,root,187
hatten,root,403
einer,nsubj:pass,36
ginge,root,14
drunter,advmod,481
bisschen,advmod,6612
bisschen,root,287
beide,nsubj,92
doch,cc,1279
andere,root,204
unten,root,456
platschst,ccomp,1
kaputt,root,1213
och,discourse,19
oah,advmod,30
geschlossen,root,23
ruf,root,171
oma,obj,211
bahn,obj,16
mak,advmod,1
sehen,xcomp,330
klappt,ccomp,92
zusammenkriegst,root,1
nöe,obj,8
boden,obl,495
nix,xcomp,15
wird,ccomp,262
halter,obj,2
jedem,det,62
guck,nmod,3
jedem,nmod,4
jedem,obj,4
all,nmod,7
alles,appos,627
drinne,root,204
uhr,root,176
bahnhof,nmod,52
eisenbahn,nmod,46
bahnhofsgebäude,root,4
grob,root,13
donnerst,root,1
gegen,case,236
nih,root,2
weg,advmod,858
kriegs,root,34
batsche,nsubj,1
batsch,root,11
komm,parataxis,195
schläft,root,564
fuchs,nsubj,65
caroline,punct,43
sschen,parataxis,1
tiger,appos,27
des,flat:name,151
