word,count
mechanische,80
festigkeit,38
cd,94
steigerung,57
lesegeschwindigkeit,5
erhöhung,101
umdrehungsgeschwindigkeit,5
gesetzt,168
weiterer,371
faktor,126
entstehung,322
geisteswissenschaften,51
verhältnis,466
hatten,1195
bürgerlichen,104
gelehrten,92
literaten,18
geistesadel,1
hochkultur,12
geschaffen,220
diesen,1357
geist,223
galt,438
zuletzt,291
gegenüber,1116
führenden,140
oberschicht,51
behaupten,54
feinjustierung,1
ringe,53
größere,425
schwierigkeit,23
dar,590
vielzahl,264
raketen,26
erfordert,77
hätte,336
sprach,199
starts,13
mondflug,5
kosten,260
verbunden,482
geforscht,17
infizierten,14
mücken,6
mögliche,198
freilassung,28
gebieten,277
feinden,14
vorgesehen,128
begonnenes,2
musikstudium,2
paris,543
agatha,27
miller,27
beginn,736
weltkriegs,175
arbeitete,327
krankenschwester,7
voluntary,2
aid,2
detachment,3
britischen,387
roten,289
kreuz,132
örtlichen,67
krankenhaus,83
apotheke,6
benannt,397
englischen,330
mathematiker,167
alan,65
turing,66
logische,45
modell,231
turingmaschine,32
fusion,51
wasserstoff,219
helium,150
energiequelle,8
sterne,125
identifiziert,88
sprachen,824
ethnien,27
formell,38
gleichberechtigte,11
nationalsprachen,5
august,1131
dortmund,372
titel,564
ausgezeichnet,171
eingesetzt,766
lösungsmittel,14
kältemittel,6
hydrauliköle,2
pflanzenschutzmittel,9
arzneistoffe,8
erschienen,206
ib,5
bilder,210
handschrift,43
verkleinertem,2
format,62
breiteres,10
publikum,183
legte,281
bildband,2
allen,1051
miniaturen,7
besaß,132
ästhetisches,10
empfinden,17
differenzierungsvermögen,1
beraten,23
versionen,89
mancher,40
zensiert,5
langen,282
grünzüge,1
finkenpark,1
thielpark,1
schwarzer,41
grund,537
bieten,212
vielen,935
grundstücken,14
parklage,1
frühsommer,10
belle,35
denunzierung,1
nachbarin,2
weiteres,302
mal,493
verhaftet,71
gefängnis,45
baltimore,9
gesandt,6
brubeck,24
tiermedizin,5
wechselte,102
musik,489
cineastischer,2
heißt,620
bildhaft,3
beschreibend,2
ostdeutsche,11
profitieren,41
infrastruktur,124
alten,678
sowjetisch,13
besetzten,125
deutschlands,424
ddr,453
regierte,71
heinrich,629
eigenständig,25
reichspräsident,25
ernannte,92
entließ,15
reichsregierung,33
repräsentierte,13
volk,279
vorschlag,105
reichsrates,1
richter,114
oberbefehl,20
reichswehr,42
kompliziert,16
geschriebene,36
fälschlich,27
gištubar,1
izdubar,1
iztubar,1
gelesen,85
karriere,160
devito,19
ausführender,4
produzent,82
erfolgreich,330
ultraschalluntersuchung,3
herzens,45
echokardiografie,3
zeigt,590
herzinfarkt,63
wandbewegungsstörung,3
betroffenen,105
herzmuskelbereich,1
systemen,94
anderer,467
verschiedener,303
plattformen,28
startende,4
betriebssystem,147
direkt,696
ausgewählt,61
open,58
firmware,29
uefi,27
substantiv,38
possessivsuffix,6
genitiv,35
muss,944
status,224
constructus,4
genau,440
absolutus,6
abtrennen,7
kasussuffixes,1
gebildet,389
rundgang,3
äußeren,159
paulustor,4
gleichnamigen,115
paulustorgasse,3
einzigen,187
stadttor,4
domenico,13
dell,11
allio,2
ausgeführt,153
studierende,20
mindestens,456
zehn,532
olympische,12
medaillen,8
gewonnen,277
gold,345
silber,112
bronze,46
unerschrockenheit,1
vermeintlichen,24
verderber,2
jugend,156
geführten,55
prozess,307
art,1029
todesurteil,3
urbild,5
philosophischer,28
daseinsbewältigung,1
lassen,976
demnach,229
nicolaikirche,2
bielefeld,209
englische,196
telefonzelle,2
innerhalb,1206
nationalkonservativen,1
kreises,55
stauffenberg,88
gedankenwelt,7
georges,56
begrifflichkeit,12
geheimen,54
zudem,1003
patienten,210
vierteln,10
gegensatz,628
sozial,49
privilegierteren,1
bezirken,30
höheres,30
risiko,140
eines,4669
jahres,412
versterben,2
september,1065
verfasste,179
auftrag,212
mayrs,2
gutachten,46
antisemitismus,41
adolf,150
gemlich,1
teilnehmer,79
lechfelder,1
kurse,30
gipfelhöhe,3
begrenzt,134
typisch,121
metern,208
wobei,1244
einzelne,330
sonnenfinsternis,20
folgenden,842
instrumente,95
eigenen,796
internen,45
korrektursystemen,1
ausgestattet,76
licht,220
vom,4667
hauptspiegel,6
umweg,15
costar,17
beziehen,132
goebbels,269
soll,1028
persönlichen,133
gespräch,89
films,182
zuvor,629
großer,487
bewunderer,16
regisseurs,33
erkennen,295
gegeben,364
ehe,254
stammt,362
tochter,306
albine,2
aufenthaltsort,7
studienort,3
ebenso,786
beliebt,102
standort,163
kunstsammlungen,12
museen,126
ähnliche,224
herrschen,35
städtischen,122
elendsvierteln,5
brauchitsch,7
fürchtete,22
wutausbruch,2
hitlers,251
wisse,6
bevorstehenden,12
putschversuch,17
bescheid,11
dortmunds,32
stadtteile,155
hohen,709
sozialhilfeempfängern,1
arbeitslosen,8
verhalf,26
lateinischen,213
bearbeitungen,20
anknüpfenden,4
volkssprachlichen,8
traktaten,3
indischen,164
ziffernrechnen,3
durchbruch,105
spiegelsegmente,1
dezember,1055
gestarteten,7
weltraumteleskops,4
bedampft,2
infrarot,11
möglichst,235
gut,721
reflektieren,16
erhielten,176
zusätzlich,493
diejenigen,90
ausland,234
lebenden,121
wahlrecht,96
inkrafttreten,32
grundgesetzes,47
monate,293
ununterbrochen,21
wohnsitz,31
gewöhnlichen,29
aufenthalt,69
entweder,357
mitgliedsstaat,8
europarates,6
ihrem,793
wegzug,8
vergangen,12
abgesichert,18
umfangreichen,89
sozialcharta,1
kostenfreien,3
belegungsrecht,1
wohnungen,77
mieter,14
schützen,103
einschränkungen,66
hinsichtlich,199
kündigungen,1
mietpreiserhöhungen,1
information,291
heimliche,3
abhören,12
zugespielt,4
sueton,37
erwähnt,231
ermordung,109
verbannten,4
konkrete,94
fälle,124
anzuführen,1
spielenden,12
betätigen,12
reine,119
nutzer,62
spieltyps,1
handeln,215
entsprechend,446
anweisungen,69
regelvorgaben,1
menge,384
reeller,6
erweiterung,126
reellen,89
konstanten,55
führt,716
qualitätseinbußen,1
getreidetrocknung,1
energieaufwändig,1
normalerweise,104
digitaloszilloskopen,2
digitalisierung,55
videosignalen,1
